id,title,description,original_air_date,production_code,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating,tmdb_rating,tmdb_vote_count
392,Rome-Old and Juli-Eh,"Selma and Grampa fall in love and end up getting married, a marriage both Homer and Patty are against.    ",2007-03-11,JABF08,Nancy Kruse,Daniel Chun,18,15,393,8.98,6.3,5.5,11
393,Homerazzi,"Homer becomes a successful Paparazzi, but Springfield's celebrities decide to get their revenge on him.    ",2007-03-25,JABF06,Matthew Nastuk,J. Stewart Burns,18,16,394,6.91,7.1,6.1,12
394,Marge Gamer,Marge decides to find out what their Internet has to offer and soon gets hooked on an online role-playing game; Homer referees Lisa's soccer game.    ,2007-04-22,JABF10,Bob Anderson,J. Stewart Burns,18,17,395,6.40,7.3,5.9,11
395,The Boys of Bummer,"Bart becomes the most hated person in Springfield after he is the goat in a championship baseball game, and Homer's new job as a mattress salesman ruins his and Marge's sex life.    ",2007-04-29,JABF11,Rob Oliver,Michael Price,18,18,396,7.57,6.0,5.5,13
396,Crook and Ladder,"Homer, Moe, Apu and Principal Skinner become volunteer firefighters. But just because they're not getting paid doesn't mean that they can't find a way to receive compensation.    ",2007-05-06,JABF13,Lance Kramer,Bill Odenkirk,18,19,397,7.72,6.9,5.8,12
397,Stop Or My Dog Will Shoot!,"Homer unwittingly drags the family into a cornfield maze after attempting to leave a boring Harvest fest that Marge brought them to. When everyone except Homer escapes, Santa's Little Helper rescues him and becomes the town hero. So the Simpsons enroll him in Police Dog Academy where he's teamed with Lou.    ",2007-05-13,JABF12,Matthew Faughnan,John Frink,18,20,398,6.48,6.8,5.6,10
398,24 Minutes,Bart and Lisa join forces to stop the school bullies from setting off a stink bomb at the school bake sale.    ,2007-05-20,JABF14,Raymond S. Persi,Billy Kimball & Ian Maxtone-Graham,18,21,399,9.80,8.1,6.6,15
399,You Kent Always Say What You Want,"After Kent Brockman is fired as a news anchor, he and Lisa use the Internet to expose the Fox News Conspiracy.    ",2007-05-20,JABF15,Matthew Nastuk,Tim Long,18,22,400,9.80,7.2,6.1,13
400,He Loves to Fly and He D'ohs,"Homer falls in love with private planes after taking a flight to Chicago with Mr. Burns. So Marge hires Homer a ""life manager"" to help him think positively and find a job that will allow him to fly for a living.    ",2007-09-23,JABF20,Mark Kirkland,Joel H. Cohen,19,1,401,9.7,6.6,6.4,15
401,The Homer of Seville,"Homer becomes an opera star after an injury improves his singing voice. His newfound popularity forces him to hire a personal assistant, who turns out to be an obsessed stalker.    ",2007-09-30,JABF18,Mike Frank Polcino,Carolyn Omine,19,2,402,8.4,6.5,5.4,13
402,Midnight Towboy,"Homer becomes the most hated man in town after he becomes a tow truck driver, and Marge teaches Maggie to not be an over-dependent baby.    ",2007-10-07,JABF21,Matthew Nastuk,Stephanie Gillis,19,3,403,7.7,7.1,5.7,10
403,I Don't Wanna Know Why the Caged Bird Sings,"Marge promises to visit a convicted bank robber in prison, but is afraid to follow through. But when the convict escapes from prison, Marge is the first person he pays a visit to.    ",2007-10-14,JABF19,Bob Anderson,Dana Gould,19,4,404,8.8,6.7,5.6,15
404,Treehouse of Horror XVIII,"The eighteenth Simpsons Halloween Special features parodies of the movies ""E.T."" and ""Mr. and Mrs. Smith.""    ",2007-11-04,JABF16,Chuck Sheetz,Marc Wilmore,19,5,405,11.7,6.9,5.4,16
405,Little Orphan Millie,"Milhouse's parents are lost at sea, which causes him to become a troubled loner. But his new persona makes him the new most popular kid at school, which sparks jealousy in Bart.    ",2007-11-11,JABF22,Lance Kramer,Mick Kelly,19,6,406,10.57,6.6,5.9,16
406,Husbands and Knives,"When Marge becomes a successful businesswoman, Homer becomes worried that she will dump him for a trophy husband. Therefore, he decides to have plastic surgery to make himself look like a hunk.    ",2007-11-18,JABF17,Nancy Kruse,Matt Selman,19,7,407,10.5,6.9,5.8,12
407,Funeral for a Fiend,"Bart is responsible for Sideshow Bob's death after his latest attempt at revenge is foiled, but is his death actually part of the plan?    ",2007-11-25,KABF01,Rob Oliver,Michael Price,19,8,408,9.0,7.1,5.8,15
408,Eternal Moonshine of the Simpson Mind,"Homer goes to Dr. Frink to help him recover his memories from the night before, and he discovers, based on his interpretation of the memories, that Marge is having an affair.    ",2007-12-16,KABF02,Chuck Sheetz,J. Stewart Burns,19,9,409,10.15,8.2,7.4,13
409,E Pluribus Wiggum,"Springfield becomes the site of the first presidential primary. The townspeople soon get sick of all of the presidential candidates sucking up to them, and decide to support their own write-in candidate: Ralph Wiggum.    ",2008-01-06,KABF03,Mike Frank Polcino,Michael Price,19,10,410,8.2,6.8,5.9,12
410,That '90s Show,"Homer and Marge tell the kids about their life in the early 1990s before they were born, when Marge was enrolled in Springfield College and Homer was the lead singer of a grunge rock band.    ",2008-01-27,KABF04,Mark Kirkland,Matt Selman,19,11,411,7.6,6.3,6.5,17
411,"Love, Springfieldian Style","A series of romantic Valentine's Day parodies based on ""Bonnie and Clyde,"" ""Lady and the Tramp,"" and ""Sid and Nancy.""    ",2008-02-17,KABF05,Raymond S. Persi,Don Payne,19,12,412,7.81,6.5,6.4,14
412,The Debarted,The new prankster in Bart's fourth grade class actually turns out to be a mole brought in by Principal Skinner to infiltrate Bart's inner circle. Homer falls in love with his loaner car after Marge wrecks their old one.    ,2008-03-02,KABF06,Matthew Nastuk,Joel H. Cohen,19,13,413,8.18,7.6,6.5,15
413,Dial 'N' for Nerder,"One of Bart's pranks results in Martin's death, but Lisa doesn't want him to confess because she would be considered an accomplice. Marge hires a television crew to find out if Homer is cheating on his diet.    ",2008-03-09,KABF07,Bob Anderson,Carolyn Omine & William Wright,19,14,414,7.3,7.4,6.4,14
414,Smoke on the Daughter,"Marge has Lisa take up ballet, mainly to have Lisa live out her own childhood dreams. Lisa then succumbs to peer pressure from her ballet mates and takes up smoking. Meanwhile, Homer and Bart try to start their own beef jerky business.    ",2008-03-30,KABF08,Lance Kramer,Billy Kimball,19,15,415,7.10,6.6,5.7,15
415,Papa Don't Leech,"When the Simpsons discover that Lurleen Lumpkin is on the skids, Marge reluctantly agrees to take her in and help her find her deadbeat dad who abandoned her 30 years ago.    ",2008-04-13,KABF09,Chris Clements,Reid Harrison,19,16,416,6.9,6.1,5.4,14
416,Apocalypse Cow,"Bart tries to save the cow he raised for his 4-H club from the slaughterhouse, and in the process winds up getting accidentally engaged to one of Cletus's daughters.    ",2008-04-27,KABF10,Nancy Kruse,Jeff Westbrook,19,17,417,7.69,6.8,5.8,14
417,Any Given Sundance,"Lisa's documentary about her family is accepted into the Sundance Film Festival. However, her family gets upset with her when they discover that the film is far from flattering.    ",2008-05-04,KABF11,Chuck Sheetz,Daniel Chun,19,18,418,6.18,7.0,5.8,12
418,Mona Leaves-a,"Homer's mom dies, and as part of her will, she asks him to spread her ashes. However, her request turns out to be part of her final act of rebellion against the system.    ",2008-05-11,KABF12,Mike B. Anderson & Ralph Sosa,Joel H. Cohen,19,19,419,6.02,7.0,6.0,14
419,All About Lisa,"In a parody of ""All About Eve,"" Lisa stabs Krusty in the back, takes his job, and wins a prestigious award. Meanwhile, Homer and Bart take up coin collecting.    ",2008-05-18,KABF13,Steven Dean Moore,John Frink,19,20,420,6.11,6.4,5.4,13
420,"Sex, Pies and Idiot Scrapes","Homer and Ned go into business together as bounty hunters, and Marge takes a job at an erotic bakery.    ",2008-09-28,KABF17,Lance Kramer,Kevin Curran,20,1,421,9.3,7.2,6.5,21
421,Lost Verizon,Bart gets in trouble with Marge after she finds out that he has Denis Leary's cell phone and is using it to make prank phone calls.    ,2008-10-05,KABF15,Raymond S. Persi,John Frink,20,2,422,7.43,6.8,5.9,17
422,"Double, Double, Boy in Trouble","Bart trades lives with his multi-millionaire lookalike, but discovers that his lookalike's life isn't all he thought it would be.    ",2008-10-26,KABF14,Nancy Kruse,Bill Odenkirk,20,3,423,N/A,6.9,5.8,20
423,Treehouse of Horror XIX,"The Simpsons' 19th Halloween Special, with parodies of ""Transformers,"" ""Mad Men,"" and ""It's the Great Pumpkin, Charlie Brown.""    ",2008-11-02,KABF16,Bob Anderson,Matt Warburton,20,4,424,12.48,7.1,6.0,22
424,Dangerous Curves,"The Simpsons take a Fourth of July vacation to a cabin hotel, which cause Homer and Marge to reminisce about two episodes from their past where they stayed in the cabin.    ",2008-11-09,KABF18,Matthew Faughnan,Billy Kimball & Ian Maxtone-Graham,20,5,425,8.16,6.6,6.0,17
425,Homer and Lisa Exchange Cross Words,"Homer gets a job breaking up couples, and Lisa becomes an expert crossword puzzle solver, but Homer bets against her in a competition.    ",2008-11-16,KABF19,Nancy Kruse,Tim Long,20,6,426,8.52 ,7.0,6.1,18
426,MyPods and Boomsticks,"Homer suspects that the family of Bart's new Muslim friend from Jordan is part of a terrorist plot, and Lisa becomes obsessed with her new MyPod.    ",2008-11-30,KABF20,Steven Dean Moore,Marc Wilmore,20,7,427,7.80,7.1,6.4,18
427,The Burns and the Bees,"Mr. Burns wins a professional basketball team in a poker game, and the new arena he plans to have Springfield build for the team threatens to interfere with Lisa's new bee sanctuary.    ",2008-12-07,KABF21,Mark Kirkland,Stephanie Gillis,20,8,428,6.19,6.5,5.7,19
428,Lisa the Drama Queen,"Lisa and her new best friend create their own fantasy world, but Marge doesn't want Lisa to see her friend anymore after she finds out that they're too far gone in it.    ",2009-01-25,KABF22,Matthew Nastuk,Brian Kelley,20,9,429,5.75,6.0,5.5,20
429,"Take My Life, Please","Homer finds out that he actually won the senior class president election, and he gets an opportunity to find out how his life would have been different if it had happened.    ",2009-02-15,LABF01,Steven Dean Moore,Don Payne,20,10,430,6.82,6.9,6.3,19
430,How the Test Was Won,"Bart and his fellow underachievers are taken on a ""field trip"" to Capital City so that they can miss the standardized test, and Homer makes sure that nothing bad happens until their insurance goes back into effect.    ",2009-03-01,LABF02,Lance Kramer,Michael Price,20,11,431,6.52,7.0,6.1,19
431,"No Loan Again, Naturally","The Simpsons lose their house, but Flanders buys it and offers to rent it back to them. But when they turn out to be less-than-reliable renters, Flanders kicks them out.    ",2009-03-08,LABF03,Mark Kirkland,Jeff Westbrook,20,12,432,5.99,6.8,6.2,19
432,Gone Maggie Gone,"In order to rescue Maggie from a Catholic orphanage, Lisa must solve a series of puzzles to reveal the identity of a gem that will bring peace to Springfield.    ",2009-03-15,LABF04,Chris Clements,Billy Kimball & Ian Maxtone-Graham,20,13,433,5.99,7.2,6.5,19
433,In the Name of the Grandfather,"The Simpsons take Grandpa to Ireland so he can go back to visit a pub he went to during the war, but Grandpa and Homer get suckered into buying the bar.    ",2009-03-22,LABF11,Ralph Sosa,Matt Marshall,20,14,434,6.15,6.3,5.8,19
434,Wedding for Disaster,"Homer is kidnapped moments before he and Marge are supposed to re-renew their vows. However, Marge comes to the conclusion that Homer left her at the altar.    ",2009-03-29,LABF05,Chuck Sheetz,Joel H. Cohen,20,15,435,6.58,6.6,6.7,18
435,Eeny Teeny Maya Moe,"Moe begins dating a little person he met on the Internet, while Maggie is being bullied at the playground next to Moe's where Homer is leaving her.    ",2009-04-05,LABF06,Nancy Kruse,John Frink,20,16,436,6.50,7.2,6.4,20
436,"The Good, the Sad and the Drugly","Bart gets Milhouse to take the rap for a prank at school, and then blows him off when he falls for a cute 5th grade do-gooder, prompting Milhouse's wrath. Meanwhile, Lisa begins taking ""happy pills"" to improve her negative outlook.    ",2009-04-19,LABF07,Rob Oliver,Marc Wilmore,20,17,437,6.50,7.2,6.9,19
437,Father Knows Worst,"Homer becomes a ""helicopter parent"" at Springfield Elementary by helping Bart finish a class project and helping Lisa become popular, and Marge finds a secret sauna in their house.    ",2009-04-26,LABF08,Matthew Nastuk,Rob LaZebnik,20,18,438,5.94,6.9,6.3,18
438,"Waverly Hills, 9-0-2-1-D'oh",The Simpsons set up a fake residence in Waverly Hills so that Bart and Lisa can attend school there.    ,2009-05-03,LABF10,Mike Frank Polcino,J. Stewart Burns,20,19,439,6.75,7.1,6.3,16
439,Four Great Women and a Manicure,"A series of parodies based on four strong women: Queen Elizabeth, Snow White, Lady MacBeth, and Ayn Rand.    ",2009-05-10,LABF09,Raymond S. Persi,Valentina L. Garza,20,20,440,5.16,6.4,6.0,16
440,Coming to Homerica,"Townspeople build a wall around Springfield to keep ""immigrants"" from Ogdenville from relocating to their town.    ",2009-05-17,LABF12,Steven Dean Moore,Brendan Hay,20,21,441,5.86,7.3,6.2,16
441,Homer the Whopper,"A Hollywood studio makes a movie based on Comic Book Guy's comic book character ""Everyman,"" and Homer is cast in the lead. However, Homer's weight fluctuations cause problems for the production.    ",2009-09-27,LABF13,Lance Kramer,Seth Rogen & Evan Goldberg,21,1,442,8.31,7.1,6.6,20
442,Bart Gets a 'Z',"When Bart's prank gets Ms. Krabappel fired from Springfield Elementary School, he tries to make it up to her without letting her know that he was responsible.    ",2009-10-04,LABF15,Mark Kirkland,Matt Selman,21,2,443,9.32,6.6,6.0,20
443,The Great Wife Hope,Marge takes on the owner of an ultimate fighting league in the ring in order to get the sport banned in Springfield.    ,2009-10-11,LABF16,Matthew Faughnan,Carolyn Omine,21,3,444,7.5,6.3,5.8,18
444,Treehouse of Horror XX,"Lisa becomes livid with Miss Hoover, and in a series of homages to classic Hitchcock sets out for deadly revenge. Next, Krusty's latest fast-food sandwich transforms news anchor Kent Brockman into an enraged zombie and twenty-eight days later, cannibal zombies have overrun Springfield. In the final frightening fable, Homer accidentally falls through a trapdoor in Moe's tavern and impales himself on the pipes of Moe's microbrewery. Moe serves the barflies a glass of delicious beer flavored with Homer's blood and Homer, now half-man, half-brewing apparatus, returns for ...    ",2009-10-18,LABF14,Mike B. Anderson & Matthew Schofield,Daniel Chun,21,4,445,8.59,7.3,6.5,21
445,The Devil Wears Nada,"Marge rediscovers her sexuality after appearing in a racy calendar, but Homer is too tired to respond to her advances because he is being worked to death by his new boss, Carl.    ",2009-11-15,LABF17,Nancy Kruse,Tim Long,21,5,446,9.04,6.7,6.0,16
446,Pranks and Greens,"Bart meets the boy responsible for the greatest prank in Springfield Elementary School history, and discovers that he's now a 19-year-old loser. Meanwhile, Marge is scolded for providing unhealthy snacks for Maggie's play group.    ",2009-11-22,LABF18,Chuck Sheetz,Jeff Westbrook,21,6,447,7.03,6.6,5.7,19
447,Rednecks and Broomsticks,"Homer becomes an expert on moonshine when he starts hanging out with Cletus after he saves the Simpsons' lives, while Lisa becomes friends with three teenage Wiccans.    ",2009-11-29,LABF19,Bob Anderson & Rob Oliver,Kevin Curran,21,7,448,9.02,6.7,6.0,16
448,"O Brother, Where Bart Thou?","Bart becomes jealous of Maggie and Lisa's special bond as sisters, so he goes to an orphanage and ""adopts"" a little brother.    ",2009-12-13,MABF01,Steven Dean Moore,Matt Selman,21,8,449,7.11,7.1,6.0,12
449,Thursdays with Abie,"Homer becomes jealous when a syndicated newspaper columnist begins publishing Grandpa's stories, while Bart is assigned to take care of the class's stuffed sheep for the weekend.    ",2010-01-03,MABF02,Mike Frank Polcino,Don Payne & Mitchell H. Glazer,21,9,450,8.65,6.7,5.6,16
450,Once Upon a Time in Springfield,"The antagonism between Krusty and the new female co-star forced upon him soon turns to romance, while a headhunter encourages Homer, Lenny and Carl to take a job at another nuclear power plant.    ",2010-01-10,LABF20,Matthew Nastuk,Stephanie Gillis,21,10,451,14.62,6.5,6.2,17
451,Million Dollar Maybe,Homer can't tell Marge he won the lottery because he was supposed to be giving a wedding toast when he bought the ticket. But Bart soon finds out where he's hiding the money and begins to blackmail him.    ,2010-01-31,MABF03,Chris Clements,Bill Odenkirk,21,11,452,5.11,7.1,5.9,16
452,Boy Meets Curl,"Homer and Marge become members of the U.S. Olympic curling team. At the games, Lisa becomes addicted to collecting pins, and Bart tries to save her.    ",2010-02-14,MABF05,Chuck Sheetz,Rob LaZebnik,21,12,453,5.87,6.8,5.7,18
453,The Color Yellow,"While searching for an admirable ancestor for a class project, Lisa discovers the story of a relative named Eliza Simpson, who may or may not have helped a slave escape to freedom.    ",2010-02-21,MABF06,Raymond S. Persi,Billy Kimball & Ian Maxtone-Graham,21,13,454,6.08,6.6,5.6,17
454,Postcards from the Wedge,"When Bart unsuccessfully tries to play Homer and Marge against each other, he comes up with a dangerous prank that is sure to get their attention.    ",2010-03-14,MABF04,Mark Kirkland,Brian Kelley,21,14,455,5.23,7.0,5.9,15
455,Stealing First Base,"Bart gets Springfield Elementary School in legal trouble when he kisses the enigmatic daughter of two lawyers, while Lisa is depressed about being ostracized because she is smart.    ",2010-03-21,MABF07,Steven Dean Moore,John Frink,21,15,456,5.69,7.0,5.9,16
456,The Greatest Story Ever D'ohed,"Ned takes the Simpsons on a pilgrimage to Israel in order to try and save Homer, but soon discovers that he may not be worth saving.    ",2010-03-28,MABF10,Mike Frank Polcino,Kevin Curran,21,16,457,5.69,5.7,5.4,17
457,American History X-cellent,"Mr Burns is sent to prison for art theft, where a scary inmate introduces him to religion. Meanwhile Smithers becomes the boss at the plant, and Bart and Lisa try to share an ant farm.    ",2010-04-11,MABF08,Bob Anderson,Michael Price,21,17,458,5.65,6.5,6.2,16
458,Chief of Hearts,"Homer and Chief Wiggum's new friendship is put to the test when the chief becomes needy after being shot, while Marge suspects that Bart may be dealing drugs.    ",2010-04-18,MABF09,Chris Clements,Carolyn Omine & William Wright,21,18,459,5.93,6.8,6.4,18
459,The Squirt and the Whale,"After a violent storm, Lisa tries to rally the townspeople and come to the rescue of a beached whale.    ",2010-04-25,MABF14,Lance Kramer,Matt Warburton,21,19,460,5.94,6.8,6.1,19
460,To Surveil with Love,"Springfield covers the town with surveillance cameras after Homer creates a bomb scare at the train station. Meanwhile, Lisa considers becoming a brunette so that people will take her more seriously.    ",2010-05-02,MABF12,Mark Kirkland,Michael Nobori,21,20,461,6.06,7.1,6.2,19
461,Moe Letter Blues,"Homer, Apu and Reverend Lovejoy all suspect that Moe may have left with one of their wives after receiving a mysterious letter, but which one is it?    ",2010-05-09,MABF13,Matthew Nastuk,Stephanie Gillis,21,21,462,5.66,7.0,6.2,16
462,The Bob Next Door,"Bart is convinced that the Simpsons' new friendly, unassuming neighbor is actually Sideshow Bob in disguise.    ",2010-05-16,MABF11,Nancy Kruse,John Frink,21,22,463,6.26,7.3,6.0,17
463,Judge Me Tender,"Moe's gruff and abrasive personality makes him the perfect hyper-critical judge, and lands him a spot on American Idol. Meanwhile, Homer makes Marge uncomfortable when he starts spending more time at home with Moe's now closed.    ",2010-05-23,MABF15,Steven Dean Moore,Dan Greaney & Allen Glazier,21,23,464,5.74,6.5,5.8,17
464,Elementary School Musical,"While Homer and Bart accompany Krusty to Oslo so he can receive the Nobel Peace Prize, Marge enrolls Lisa for a week in performing arts camp.    ",2010-09-26,MABF21,Mark Kirkland,Tim Long,22,1,465,7.75,6.2,5.7,14
465,Loan-a Lisa,"Lisa uses the $50 she receives from Grandpa to give Nelson a microloan to jump-start his bicycle business, but soon comes to regret the decision.    ",2010-10-03,MABF17,Matthew Faughnan,Valentina L. Garza,22,2,466,8.59,6.7,5.9,16
466,MoneyBart,"Lisa takes over as manager of Bart's baseball team and uses statistical analysis to build a winner, but she takes all of the fun out of it and causes Bart to quit the team.    ",2010-10-10,MABF18,Nancy Kruse,Tim Long,22,3,467,6.72,6.7,6.1,18
467,Treehouse of Horror XXI,"A Satanic board game causes other popular board games to come to life, Homer and Marge rescue a possible killer and let him on their boat, and a parody of ""Twilight"" where Lisa falls for a young vampire.    ",2010-11-07,MABF16,Bob Anderson,Joel H. Cohen,22,4,468,8.19,7.1,5.5,20
468,"Lisa Simpson, This Isn't Your Life","When Lisa discovers that Marge was also a model student, she tries to find out where everything changed so that she doesn't repeat her mistakes. Meanwhile, a series of chance accidents cause Bart to replace Nelson as school bully.    ",2010-11-14,MABF20,Matthew Nastuk,Joel H. Cohen,22,5,469,8.97,7.2,6.0,16
469,The Fool Monty,"After Mr. Burns finds out that he is dying, he has an accident and loses his memory, and all the townspeople use the situation to get their revenge on him.    ",2010-11-21,NABF01,Steven Dean Moore,Michael Price,22,6,470,6.58,6.4,5.5,15
470,How Munched Is That Birdie in the Window?,"Bart adopts a carrier pigeon, but Santa's Little Helper eats it.    ",2010-11-28,NABF02,Mike Frank Polcino,Kevin Curran,22,7,471,9.38,6.3,6.1,16
471,The Fight Before Christmas,"Marge gets depressed when the rest of the family does not get into the holiday spirit, and she writes a letter, hoping to get some help; Mr. Burns and Moe's new friend delay the Simpsons as they attempt to travel to Hawaii for the holiday.    ",2010-12-05,MABF22,Bob Anderson & Matthew Schofield,Deb Lacusta & Dan Castellaneta,22,8,472,9.54,6.7,6.3,17
472,Donnie Fatso,"Homer goes to prison after attempting to get out of a series of fines with a bribe, but agrees to a reduced sentence by informing on Fat Tony for the FBI.    ",2010-12-12,MABF19,Ralph Sosa,Chris Cluess,22,9,473,7.18,7.0,6.0,14
473,Moms I'd Like to Forget,Bart sets out to uncover the origins of a sword-shaped scar on his hand; Marge reconnects with three friends she fell out with years ago.    ,2011-01-09,NABF03,Chris Clements,Brian Kelley,22,10,474,12.6,6.3,5.9,14
474,Flaming Moe,Moe tries to keep his 'straightness' a secret when he opens a gay bar; Skinner falls for a new teacher.    ,2011-01-16,NABF04,Chuck Sheetz,Matt Selman,22,11,475,6.47,6.7,6.0,14
475,Homer the Father,Homer picks up parenting advice from an 80s sitcom; Bart becomes involved in trading nuclear secrets.    ,2011-01-23,NABF05,Mark Kirkland,Joel H. Cohen,22,12,476,6.50,6.9,6.5,16
476,The Blue and the Gray,"Moe employs Homer as his wing man, only to find Homer has more luck with the ladies than he does; Marge finds her first gray hair.    ",2011-02-13,NABF06,Bob Anderson,Rob LaZebnik,22,13,477,5.61,6.7,6.1,16
477,Angry Dad: The Movie,"Bart's ""Angry Dad"" character gets his own movie, but when the movie starts winning awards, Homer tries to hog all the credit.    ",2011-02-20,NABF07,Matthew Nastuk,John Frink,22,14,478,6.35,7.2,6.4,19
478,The Scorpion's Tale,Lisa's school project leads to the discovery of a new drug that makes the elderly less cranky and more tolerable.    ,2011-03-06,NABF08,Matthew Schofield,Billy Kimball & Ian Maxtone-Graham,22,15,479,6.20,6.6,6.5,14
479,A Midsummer's Nice Dream,"After Tommy Chong walks away from the Cheech & Chong reunion tour, Homer goes on the road as his replacement. Meanwhile, Marge tries to help the cat lady with her hoarding problem.    ",2011-03-13,NABF09,Steven Dean Moore,Deb Lacusta & Dan Castellaneta,22,16,480,5.44,6.0,5.4,14
480,Love Is a Many Strangled Thing,The tables are turned for Homer and Bart after a therapist cures Homer of his violent tendencies toward the boy.    ,2011-03-27,NABF10,Mike Frank Polcino,Bill Odenkirk,22,17,481,6.14,6.2,6.1,14
481,The Great Simpsina,"The family is greeted by folk singer Ewell Freestone when they visit a peach farm, but when Marge goes overboard with peach-inspired dishes, Lisa and Bart try to get rid of the unwanted fruit. Later, Lisa becomes a magician's apprentice to the legendary Great Raymondo who helps her develop her craft, but a schoolgirl crush clouds her judgment when she is coaxed into revealing the Great Raymondo's most famous magic trick to his phony archnemesis. But when the rival magician's act takes a risky turn, the Great Raymondo has one last trick up his sleeve and stages ...    ",2011-04-10,NABF11,Chris Clements,Matt Warburton,22,18,482,5.00,6.8,6.2,16
482,The Real Housewives of Fat Tony,"Selma falls in love with and marries Fat Tony, and Lisa discovers that Bart has a skill for finding truffles.    ",2011-05-01,NABF12,Lance Kramer,Dick Blasucci,22,19,483,6.10,6.5,6.3,14
483,Homer Scissorhands,"Homer opens his own salon after he discovers that he has skills as a hair stylist, and Lisa becomes suspicious after Millhouse gets a 5th grade girlfriend.    ",2011-05-08,NABF13,Mark Kirkland,Peter Gaffney & Steve Viksten,22,20,484,5.48,7.1,7.0,16
484,500 Keys,"While Homer takes the Duff Blimp for a joyride, Lisa discovers a secret room in the basement of Sprinfield Elementary School.    ",2011-05-15,NABF14,Bob Anderson,John Frink,22,21,485,6.00,7.3,6.6,15
485,The Ned-Liest Catch,"When Krabbapple gets suspended and put into detention after hurting Bart, Bart tries to break her out, but it ends that Flanders is the one that saves her life. But soon, Ned figures out that Edna has also dated other men such as Homer, Skinner Comic Book Guy and Aerosmith drummer Joey Kramer.    ",2011-05-22,NABF15,Chuck Sheetz,Jeff Westbrook,22,22,486,5.25,7.0,6.0,17
486,The Falcon and the D'ohman,"Homer tries to befriend the new security guard at the nuclear power plant, who for some unknown reason isn't interested and keeps having flashbacks to his violent past as a government agent.    ",2011-09-25,NABF16,Matthew Nastuk,Justin Hurwitz,23,1,487,8.08,7.1,6.6,16
487,Bart Stops to Smell the Roosevelts,"Superintendant Chalmers gets fired after using unconventional methods to teach Bart and his friends about Teddy Roosevelt, so the boys take over Springfield Elementary until he gets his old job back.    ",2011-10-02,NABF17,Steven Dean Moore,Tim Long,23,2,488,6.19,7.0,6.0,13
488,Treehouse of Horror XXII,"Homer takes a dangerous dive into an isolated canyon on Candy Peak, but when a crashing boulder traps his arm, he channels Aron Ralston to save himself. In ""The Diving Bell and Butterball,"" the first of three hair-raising Halloween tales, a venomous spider bite leaves Homer paralyzed, but when Lisa discovers Homer's ability to communicate through natural gases, he is able to express his love for Marge. The killer spells continue in ""Dial D for Diddly,"" when Ned Flanders, devout preacher by day, transforms into a cold-blooded vigilante by night. In the final terrifying...    ",2011-10-30,NABF19,Matthew Faughnan,Carolyn Omine,23,3,489,8.10,6.4,5.7,15
489,Replaceable You,"Homer is betrayed by his new assistant at work and winds up working for her, and Bart and Martin create a science project that brings joy to the seniors at the Springfield Retirement Castle.    ",2011-11-06,NABF21,Mark Kirkland,Stephanie Gillis,23,4,490,7.97,6.4,6.1,12
490,The Food Wife,"Homer is worried that he is no longer the cool parent after Marge, Bart, and Lisa become foodies.    ",2011-11-13,NABF20,Timothy Bailey,Matt Selman,23,5,491,7.50,7.1,5.9,12
491,The Book Job,"Homer and Bart put together a team to author the next successful tween novel franchise and make a million dollars, but discover that they need Lisa's help to pull it off.    ",2011-11-20,NABF22,Bob Anderson,Dan Vebber,23,6,492,5.77,7.9,6.7,12
492,The Man in the Blue Flannel Pants,"Homer gets promoted to accounts manager at the nuclear power plant, but soon learns the job robs you of your soul. Meanwhile, Lisa introduces Bart to ""Little Women.""    ",2011-11-27,PABF01,Steven Dean Moore,Jeff Westbrook,23,7,493,5.61,6.6,6.2,12
493,The Ten-Per-Cent Solution,"Krusty the Clown is stuck in a rut when the television network pulls his show from the air and his talent agency drops him as a client. But when the Simpsons introduce him to seasoned agent Annie, they are surprised to learn that Annie was Krusty's very first agent. Despite their rocky relationship, Annie is convinced to re-sign Krusty and craft his career comeback. But when Krusty's retro comedy show reboot is deemed a critical success, Krusty must decide to stay with his agent or side with the network executives.    ",2011-12-04,PABF02,Mike Frank Polcino,Deb Lacusta & Dan Castellaneta,23,8,494,9.01,6.1,5.5,13
494,Holidays of Future Passed,Thirty years in the future the Simpsons get together for Christmas. Bart and Lisa are struggling as parents to connect with their children.    ,2011-12-11,NABF18,Rob Oliver,J. Stewart Burns,23,9,495,6.43,8.3,7.4,16
495,"Politically Inept, with Homer Simpson","Homer becomes the host of a popular political talk show, starts an ""everyman"" movement in Springfield, and ends up hand-picking Ted Nugent as the Republican nominee for president.    ",2012-01-08,PABF03,Mark Kirkland,John Frink,23,10,496,5.07,6.0,5.2,16
496,The D'oh-cial Network,"Lisa creates an online social network that becomes a Springfield obsession, but later becomes a victim of user backlash.    ",2012-01-15,PABF04,Chris Clements,J. Stewart Burns,23,11,497,11.48,6.9,6.0,13
497,Moe Goes from Rags to Riches,"While Bart tries to regain Milhouse's friendship, Moe's bar cleaning rag tells his unlikely story of how he got to where he is today.    ",2012-01-29,PABF05,Bob Anderson,Tim Long,23,12,498,5.12,5.8,5.7,15
